学号,知识点id,年份,分数
223401010120,1777575459454853120,2023-2024,0
223401010121,1777575459454853120,2023-2024,100
223401010122,1777575459454853120,2023-2024,0
223401010123,1777575459454853120,2023-2024,100
223401010124,1777575459454853120,2023-2024,100
223401010125,1777575459454853120,2023-2024,100
223401010126,1777575459454853120,2023-2024,0
223401010127,1777575459454853120,2023-2024,100
223401010128,1777575459454853120,2023-2024,100
223401010129,1777575459454853120,2023-2024,100
223401010130,1777575459454853120,2023-2024,100
223401010131,1777575459454853120,2023-2024,100
223401010132,1777575459454853120,2023-2024,0
223401010133,1777575459454853120,2023-2024,0
223401010134,1777575459454853120,2023-2024,0
223401010136,1777575459454853120,2023-2024,100
223401010137,1777575459454853120,2023-2024,100
223401010138,1777575459454853120,2023-2024,100
223401010140,1777575459454853120,2023-2024,100
223401010201,1777575459454853120,2023-2024,100
223401010202,1777575459454853120,2023-2024,100
223401010203,1777575459454853120,2023-2024,0
223401010204,1777575459454853120,2023-2024,100
223401010205,1777575459454853120,2023-2024,0
223401010206,1777575459454853120,2023-2024,100
223401010207,1777575459454853120,2023-2024,100
223401010208,1777575459454853120,2023-2024,100
223401010209,1777575459454853120,2023-2024,0
223401010210,1777575459454853120,2023-2024,100
223401010211,1777575459454853120,2023-2024,100
223401010212,1777575459454853120,2023-2024,100
223401010214,1777575459454853120,2023-2024,100
223401010215,1777575459454853120,2023-2024,100
223401010216,1777575459454853120,2023-2024,100
223401010217,1777575459454853120,2023-2024,100
223401010218,1777575459454853120,2023-2024,100
223401010219,1777575459454853120,2023-2024,0
223401010220,1777575459454853120,2023-2024,100
223401010221,1777575459454853120,2023-2024,100
223401010222,1777575459454853120,2023-2024,100
223401010223,1777575459454853120,2023-2024,100
223401010224,1777575459454853120,2023-2024,100
223401010225,1777575459454853120,2023-2024,100
223401010226,1777575459454853120,2023-2024,100
223401010227,1777575459454853120,2023-2024,100
223401010228,1777575459454853120,2023-2024,100
223401010229,1777575459454853120,2023-2024,100
223401010230,1777575459454853120,2023-2024,100
223401010231,1777575459454853120,2023-2024,0
223401010232,1777575459454853120,2023-2024,0
223401010233,1777575459454853120,2023-2024,100
223401010234,1777575459454853120,2023-2024,100
223401010235,1777575459454853120,2023-2024,0
223401010236,1777575459454853120,2023-2024,0
223401010237,1777575459454853120,2023-2024,100
223401010238,1777575459454853120,2023-2024,100
223401010301,1777575459454853120,2023-2024,100
223401010302,1777575459454853120,2023-2024,100
223401010303,1777575459454853120,2023-2024,0
223401010304,1777575459454853120,2023-2024,100
223401010305,1777575459454853120,2023-2024,100
223401010306,1777575459454853120,2023-2024,0
223401010307,1777575459454853120,2023-2024,100
223401010308,1777575459454853120,2023-2024,0
223401010310,1777575459454853120,2023-2024,100
223401010311,1777575459454853120,2023-2024,100
223401010312,1777575459454853120,2023-2024,100
223401010313,1777575459454853120,2023-2024,100
223401010314,1777575459454853120,2023-2024,100
223401010315,1777575459454853120,2023-2024,0
223401010316,1777575459454853120,2023-2024,100
223401010317,1777575459454853120,2023-2024,100
223401010318,1777575459454853120,2023-2024,100
223401010319,1777575459454853120,2023-2024,100
223401010320,1777575459454853120,2023-2024,100
223401010321,1777575459454853120,2023-2024,0
223401010322,1777575459454853120,2023-2024,100
223401010323,1777575459454853120,2023-2024,0
223401010324,1777575459454853120,2023-2024,100
223401010325,1777575459454853120,2023-2024,100
223401010326,1777575459454853120,2023-2024,0
223401010327,1777575459454853120,2023-2024,100
223401010328,1777575459454853120,2023-2024,100
223401010329,1777575459454853120,2023-2024,100
223401010330,1777575459454853120,2023-2024,100
223401010331,1777575459454853120,2023-2024,0
223401010332,1777575459454853120,2023-2024,100
223401010334,1777575459454853120,2023-2024,100
223401010335,1777575459454853120,2023-2024,0
223401010401,1777575459454853120,2023-2024,100
223401010402,1777575459454853120,2023-2024,100
223401010403,1777575459454853120,2023-2024,100
223401010404,1777575459454853120,2023-2024,0
223401010405,1777575459454853120,2023-2024,0
223401010406,1777575459454853120,2023-2024,0
223401010407,1777575459454853120,2023-2024,100
223401010408,1777575459454853120,2023-2024,100
223401010409,1777575459454853120,2023-2024,100
223401010410,1777575459454853120,2023-2024,100
223401010411,1777575459454853120,2023-2024,100
223401010412,1777575459454853120,2023-2024,0
223401010413,1777575459454853120,2023-2024,100
223401010414,1777575459454853120,2023-2024,100
223401010415,1777575459454853120,2023-2024,100
223401010416,1777575459454853120,2023-2024,0
223401010417,1777575459454853120,2023-2024,100
223401010418,1777575459454853120,2023-2024,0
223401010419,1777575459454853120,2023-2024,100
223401010420,1777575459454853120,2023-2024,100
223401010421,1777575459454853120,2023-2024,0
223401010422,1777575459454853120,2023-2024,0
223401010423,1777575459454853120,2023-2024,100
223401010424,1777575459454853120,2023-2024,100
223401010425,1777575459454853120,2023-2024,100
223401010426,1777575459454853120,2023-2024,0
223401010427,1777575459454853120,2023-2024,0
223401010428,1777575459454853120,2023-2024,0
223401010429,1777575459454853120,2023-2024,100
223401010430,1777575459454853120,2023-2024,0
223401010431,1777575459454853120,2023-2024,0
223401010432,1777575459454853120,2023-2024,100
223401010433,1777575459454853120,2023-2024,100
223401010434,1777575459454853120,2023-2024,100
223401010435,1777575459454853120,2023-2024,100
223401040101,1777575459454853120,2023-2024,0
223401040102,1777575459454853120,2023-2024,100
223401040103,1777575459454853120,2023-2024,100
223401040104,1777575459454853120,2023-2024,100
223401040105,1777575459454853120,2023-2024,0
223401040106,1777575459454853120,2023-2024,100
223401040107,1777575459454853120,2023-2024,100
223401040108,1777575459454853120,2023-2024,100
223401040109,1777575459454853120,2023-2024,0
223401040110,1777575459454853120,2023-2024,100
223401040111,1777575459454853120,2023-2024,100
223401040112,1777575459454853120,2023-2024,0
223401040113,1777575459454853120,2023-2024,100
223401040114,1777575459454853120,2023-2024,0
223401040115,1777575459454853120,2023-2024,100
223401040116,1777575459454853120,2023-2024,100
223401040117,1777575459454853120,2023-2024,100
223401040118,1777575459454853120,2023-2024,100
223401040119,1777575459454853120,2023-2024,0
223401040120,1777575459454853120,2023-2024,100
223401040121,1777575459454853120,2023-2024,100
223401040122,1777575459454853120,2023-2024,100
223401040123,1777575459454853120,2023-2024,100
223401040124,1777575459454853120,2023-2024,100
223401040125,1777575459454853120,2023-2024,100
223401040126,1777575459454853120,2023-2024,0
223401040127,1777575459454853120,2023-2024,0
223401040128,1777575459454853120,2023-2024,0
223401040129,1777575459454853120,2023-2024,0
223401040130,1777575459454853120,2023-2024,100
223401040131,1777575459454853120,2023-2024,100
223401040132,1777575459454853120,2023-2024,0
223401040133,1777575459454853120,2023-2024,0
223401040134,1777575459454853120,2023-2024,100
223401040135,1777575459454853120,2023-2024,100
223401040201,1777575459454853120,2023-2024,100
223401040202,1777575459454853120,2023-2024,100
223401040203,1777575459454853120,2023-2024,0
223401040204,1777575459454853120,2023-2024,100
223401040205,1777575459454853120,2023-2024,100
223401040206,1777575459454853120,2023-2024,100
223401040207,1777575459454853120,2023-2024,0
223401040208,1777575459454853120,2023-2024,100
223401040209,1777575459454853120,2023-2024,100
223401040210,1777575459454853120,2023-2024,0
223401040211,1777575459454853120,2023-2024,0
223401040212,1777575459454853120,2023-2024,100
223401040213,1777575459454853120,2023-2024,100
223401040214,1777575459454853120,2023-2024,100
223401040215,1777575459454853120,2023-2024,0
223401040216,1777575459454853120,2023-2024,0
223401040217,1777575459454853120,2023-2024,100
223401040218,1777575459454853120,2023-2024,100
223401040219,1777575459454853120,2023-2024,100
223401040220,1777575459454853120,2023-2024,100
223401040221,1777575459454853120,2023-2024,0
223401040222,1777575459454853120,2023-2024,0
223401040223,1777575459454853120,2023-2024,100
223401040224,1777575459454853120,2023-2024,100
223401040225,1777575459454853120,2023-2024,0
223401040226,1777575459454853120,2023-2024,100
223401040227,1777575459454853120,2023-2024,100
223401040228,1777575459454853120,2023-2024,100
223401040229,1777575459454853120,2023-2024,0
223401040230,1777575459454853120,2023-2024,0
223401040231,1777575459454853120,2023-2024,0
223401040232,1777575459454853120,2023-2024,100
223401040233,1777575459454853120,2023-2024,100
223401040234,1777575459454853120,2023-2024,100
223401040235,1777575459454853120,2023-2024,100
223401050101,1777575459454853120,2023-2024,100
223401050102,1777575459454853120,2023-2024,100
223401050103,1777575459454853120,2023-2024,0
223401050104,1777575459454853120,2023-2024,0
223401050105,1777575459454853120,2023-2024,100
223401050106,1777575459454853120,2023-2024,0
223401050107,1777575459454853120,2023-2024,0
223401050108,1777575459454853120,2023-2024,100
223401050109,1777575459454853120,2023-2024,0
223401050110,1777575459454853120,2023-2024,100
223401050111,1777575459454853120,2023-2024,100
223401050112,1777575459454853120,2023-2024,100
223401050113,1777575459454853120,2023-2024,100
223401050114,1777575459454853120,2023-2024,100
223401050115,1777575459454853120,2023-2024,100
223401050116,1777575459454853120,2023-2024,0
223401050117,1777575459454853120,2023-2024,100
223401050118,1777575459454853120,2023-2024,0
223401050119,1777575459454853120,2023-2024,100
223401050120,1777575459454853120,2023-2024,0
223401050121,1777575459454853120,2023-2024,100
223401050122,1777575459454853120,2023-2024,100
223401050123,1777575459454853120,2023-2024,100
223401050124,1777575459454853120,2023-2024,100
223401050125,1777575459454853120,2023-2024,0
223401050126,1777575459454853120,2023-2024,100
223401050127,1777575459454853120,2023-2024,100
223401050128,1777575459454853120,2023-2024,100
223401050129,1777575459454853120,2023-2024,100
223401050130,1777575459454853120,2023-2024,100
223401050131,1777575459454853120,2023-2024,0
223401050132,1777575459454853120,2023-2024,0
223401050134,1777575459454853120,2023-2024,100
223401050135,1777575459454853120,2023-2024,100
223401050201,1777575459454853120,2023-2024,0
223401050202,1777575459454853120,2023-2024,100
223401050203,1777575459454853120,2023-2024,100
223401050204,1777575459454853120,2023-2024,0
223401050205,1777575459454853120,2023-2024,0
223401050206,1777575459454853120,2023-2024,100
223401050207,1777575459454853120,2023-2024,0
223401050208,1777575459454853120,2023-2024,0
223401050209,1777575459454853120,2023-2024,0
223401050210,1777575459454853120,2023-2024,100
223401050211,1777575459454853120,2023-2024,0
223401050212,1777575459454853120,2023-2024,0
223401050213,1777575459454853120,2023-2024,100
223401050214,1777575459454853120,2023-2024,100
223401050215,1777575459454853120,2023-2024,0
223401050216,1777575459454853120,2023-2024,100
223401050217,1777575459454853120,2023-2024,0
223401050218,1777575459454853120,2023-2024,100
223401050219,1777575459454853120,2023-2024,0
223401050220,1777575459454853120,2023-2024,0
223401050221,1777575459454853120,2023-2024,100
223401050222,1777575459454853120,2023-2024,100
223401050223,1777575459454853120,2023-2024,0
223401050224,1777575459454853120,2023-2024,100
223401050225,1777575459454853120,2023-2024,100
223401050226,1777575459454853120,2023-2024,0
223401050227,1777575459454853120,2023-2024,0
223401050228,1777575459454853120,2023-2024,100
223401050229,1777575459454853120,2023-2024,100
223401050230,1777575459454853120,2023-2024,0
223401050231,1777575459454853120,2023-2024,100
223401050232,1777575459454853120,2023-2024,0
223401050233,1777575459454853120,2023-2024,100
223401050234,1777575459454853120,2023-2024,100
223401050235,1777575459454853120,2023-2024,100
223405010213,1777575459454853120,2023-2024,100
223406010708,1777575459454853120,2023-2024,100
223406010709,1777575459454853120,2023-2024,100
223407020133,1777575459454853120,2023-2024,100
223407020218,1777575459454853120,2023-2024,100
223408110202,1777575459454853120,2023-2024,100
223409010210,1777575459454853120,2023-2024,100
223411010109,1777575459454853120,2023-2024,0
223411010111,1777575459454853120,2023-2024,0
223411010232,1777575459454853120,2023-2024,100
223411020111,1777575459454853120,2023-2024,100
223411070102,1777575459454853120,2023-2024,100
223412010212,1777575459454853120,2023-2024,100
223423050108,1777575459454853120,2023-2024,100
223423050133,1777575459454853120,2023-2024,100
223428020104,1777575459454853120,2023-2024,100
223428020136,1777575459454853120,2023-2024,0
223428030201,1777575459454853120,2023-2024,100
223428060112,1777575459454853120,2023-2024,100
223428060201,1777575459454853120,2023-2024,100
223428060202,1777575459454853120,2023-2024,100
223428060218,1777575459454853120,2023-2024,100
183423050114,1777575459459047424,2023-2024,0
193401010122,1777575459459047424,2023-2024,0
203401050130,1777575459459047424,2023-2024,100
203406010614,1777575459459047424,2023-2024,100
203409010318,1777575459459047424,2023-2024,100
213401010106,1777575459459047424,2023-2024,0
213401040108,1777575459459047424,2023-2024,100
213401050132,1777575459459047424,2023-2024,0
213401050217,1777575459459047424,2023-2024,0
213401050227,1777575459459047424,2023-2024,100
213401050230,1777575459459047424,2023-2024,0
213412010226,1777575459459047424,2023-2024,100
213428030211,1777575459459047424,2023-2024,0
213428040133,1777575459459047424,2023-2024,0
213428040214,1777575459459047424,2023-2024,100
223401010101,1777575459459047424,2023-2024,100
223401010102,1777575459459047424,2023-2024,100
223401010103,1777575459459047424,2023-2024,0
223401010104,1777575459459047424,2023-2024,100
223401010105,1777575459459047424,2023-2024,100
223401010106,1777575459459047424,2023-2024,0
223401010107,1777575459459047424,2023-2024,100
223401010108,1777575459459047424,2023-2024,100
223401010109,1777575459459047424,2023-2024,100
223401010110,1777575459459047424,2023-2024,100
223401010112,1777575459459047424,2023-2024,100
223401010113,1777575459459047424,2023-2024,100
223401010114,1777575459459047424,2023-2024,100
223401010115,1777575459459047424,2023-2024,100
223401010116,1777575459459047424,2023-2024,100
223401010117,1777575459459047424,2023-2024,0
223401010118,1777575459459047424,2023-2024,100
223401010119,1777575459459047424,2023-2024,0
223401010120,1777575459459047424,2023-2024,0
223401010121,1777575459459047424,2023-2024,100
223401010122,1777575459459047424,2023-2024,0
223401010123,1777575459459047424,2023-2024,100
223401010124,1777575459459047424,2023-2024,100
223401010125,1777575459459047424,2023-2024,100
223401010126,1777575459459047424,2023-2024,0
223401010127,1777575459459047424,2023-2024,100
223401010128,1777575459459047424,2023-2024,100
223401010129,1777575459459047424,2023-2024,100
223401010130,1777575459459047424,2023-2024,100
223401010131,1777575459459047424,2023-2024,100
223401010132,1777575459459047424,2023-2024,0
223401010133,1777575459459047424,2023-2024,0
223401010134,1777575459459047424,2023-2024,0
223401010136,1777575459459047424,2023-2024,100
223401010137,1777575459459047424,2023-2024,100
223401010138,1777575459459047424,2023-2024,100
223401010140,1777575459459047424,2023-2024,100
223401010201,1777575459459047424,2023-2024,100
223401010202,1777575459459047424,2023-2024,100
223401010203,1777575459459047424,2023-2024,0
223401010204,1777575459459047424,2023-2024,100
223401010205,1777575459459047424,2023-2024,0
223401010206,1777575459459047424,2023-2024,100
223401010207,1777575459459047424,2023-2024,100
223401010208,1777575459459047424,2023-2024,100
223401010209,1777575459459047424,2023-2024,0
223401010210,1777575459459047424,2023-2024,100
223401010211,1777575459459047424,2023-2024,100
223401010212,1777575459459047424,2023-2024,100
223401010214,1777575459459047424,2023-2024,100
223401010215,1777575459459047424,2023-2024,100
223401010216,1777575459459047424,2023-2024,100
223401010217,1777575459459047424,2023-2024,100
223401010218,1777575459459047424,2023-2024,100
223401010219,1777575459459047424,2023-2024,0
223401010220,1777575459459047424,2023-2024,100
223401010221,1777575459459047424,2023-2024,100
223401010222,1777575459459047424,2023-2024,100
223401010223,1777575459459047424,2023-2024,100
223401010224,1777575459459047424,2023-2024,100
223401010225,1777575459459047424,2023-2024,100
223401010226,1777575459459047424,2023-2024,100
223401010227,1777575459459047424,2023-2024,100
223401010228,1777575459459047424,2023-2024,100
223401010229,1777575459459047424,2023-2024,100
223401010230,1777575459459047424,2023-2024,100
223401010231,1777575459459047424,2023-2024,0
223401010232,1777575459459047424,2023-2024,0
223401010233,1777575459459047424,2023-2024,100
223401010234,1777575459459047424,2023-2024,100
223401010235,1777575459459047424,2023-2024,0
223401010236,1777575459459047424,2023-2024,0
223401010237,1777575459459047424,2023-2024,100
223401010238,1777575459459047424,2023-2024,100
223401010301,1777575459459047424,2023-2024,100
223401010302,1777575459459047424,2023-2024,100
223401010303,1777575459459047424,2023-2024,0
223401010304,1777575459459047424,2023-2024,100
223401010305,1777575459459047424,2023-2024,100
223401010306,1777575459459047424,2023-2024,0
223401010307,1777575459459047424,2023-2024,100
223401010308,1777575459459047424,2023-2024,0
223401010310,1777575459459047424,2023-2024,100
223401010311,1777575459459047424,2023-2024,100
223401010312,1777575459459047424,2023-2024,100
223401010313,1777575459459047424,2023-2024,100
223401010314,1777575459459047424,2023-2024,100
223401010315,1777575459459047424,2023-2024,0
223401010316,1777575459459047424,2023-2024,100
223401010317,1777575459459047424,2023-2024,100
223401010318,1777575459459047424,2023-2024,100
223401010319,1777575459459047424,2023-2024,100
223401010320,1777575459459047424,2023-2024,100
223401010321,1777575459459047424,2023-2024,0
223401010322,1777575459459047424,2023-2024,100
223401010323,1777575459459047424,2023-2024,0
223401010324,1777575459459047424,2023-2024,100
223401010325,1777575459459047424,2023-2024,100
223401010326,1777575459459047424,2023-2024,0
223401010327,1777575459459047424,2023-2024,100
223401010328,1777575459459047424,2023-2024,100
223401010329,1777575459459047424,2023-2024,100
223401010330,1777575459459047424,2023-2024,100
223401010331,1777575459459047424,2023-2024,0
223401010332,1777575459459047424,2023-2024,100
223401010334,1777575459459047424,2023-2024,100
223401010335,1777575459459047424,2023-2024,0
223401010401,1777575459459047424,2023-2024,100
223401010402,1777575459459047424,2023-2024,100
223401010403,1777575459459047424,2023-2024,100
223401010404,1777575459459047424,2023-2024,0
223401010405,1777575459459047424,2023-2024,0
223401010406,1777575459459047424,2023-2024,0
223401010407,1777575459459047424,2023-2024,100
223401010408,1777575459459047424,2023-2024,100
223401010409,1777575459459047424,2023-2024,100
223401010410,1777575459459047424,2023-2024,100
223401010411,1777575459459047424,2023-2024,100
223401010412,1777575459459047424,2023-2024,0
223401010413,1777575459459047424,2023-2024,100
223401010414,1777575459459047424,2023-2024,100
223401010415,1777575459459047424,2023-2024,100
223401010416,1777575459459047424,2023-2024,0
223401010417,1777575459459047424,2023-2024,100
223401010418,1777575459459047424,2023-2024,0
223401010419,1777575459459047424,2023-2024,100
223401010420,1777575459459047424,2023-2024,100
223401010421,1777575459459047424,2023-2024,0
223401010422,1777575459459047424,2023-2024,0
223401010423,1777575459459047424,2023-2024,100
223401010424,1777575459459047424,2023-2024,100
223401010425,1777575459459047424,2023-2024,100
223401010426,1777575459459047424,2023-2024,0
223401010427,1777575459459047424,2023-2024,0
223401010428,1777575459459047424,2023-2024,0
223401010429,1777575459459047424,2023-2024,100
223401010430,1777575459459047424,2023-2024,0
223401010431,1777575459459047424,2023-2024,0
223401010432,1777575459459047424,2023-2024,100
223401010433,1777575459459047424,2023-2024,100
223401010434,1777575459459047424,2023-2024,100
223401010435,1777575459459047424,2023-2024,100
223401040101,1777575459459047424,2023-2024,0
223401040102,1777575459459047424,2023-2024,100
223401040103,1777575459459047424,2023-2024,100
223401040104,1777575459459047424,2023-2024,100
223401040105,1777575459459047424,2023-2024,0
223401040106,1777575459459047424,2023-2024,100
223401040107,1777575459459047424,2023-2024,100
223401040108,1777575459459047424,2023-2024,100
223401040109,1777575459459047424,2023-2024,0
223401040110,1777575459459047424,2023-2024,100
223401040111,1777575459459047424,2023-2024,100
223401040112,1777575459459047424,2023-2024,0
223401040113,1777575459459047424,2023-2024,100
223401040114,1777575459459047424,2023-2024,0
223401040115,1777575459459047424,2023-2024,100
223401040116,1777575459459047424,2023-2024,100
223401040117,1777575459459047424,2023-2024,100
223401040118,1777575459459047424,2023-2024,100
223401040119,1777575459459047424,2023-2024,0
223401040120,1777575459459047424,2023-2024,100
223401040121,1777575459459047424,2023-2024,100
223401040122,1777575459459047424,2023-2024,100
223401040123,1777575459459047424,2023-2024,100
223401040124,1777575459459047424,2023-2024,100
223401040125,1777575459459047424,2023-2024,100
223401040126,1777575459459047424,2023-2024,0
223401040127,1777575459459047424,2023-2024,0
223401040128,1777575459459047424,2023-2024,0
223401040129,1777575459459047424,2023-2024,0
223401040130,1777575459459047424,2023-2024,100
223401040131,1777575459459047424,2023-2024,100
223401040132,1777575459459047424,2023-2024,0
223401040133,1777575459459047424,2023-2024,0
223401040134,1777575459459047424,2023-2024,100
223401040135,1777575459459047424,2023-2024,100
223401040201,1777575459459047424,2023-2024,100
223401040202,1777575459459047424,2023-2024,100
223401040203,1777575459459047424,2023-2024,0
223401040204,1777575459459047424,2023-2024,100
223401040205,1777575459459047424,2023-2024,100
223401040206,1777575459459047424,2023-2024,100
223401040207,1777575459459047424,2023-2024,0
223401040208,1777575459459047424,2023-2024,100
223401040209,1777575459459047424,2023-2024,100
223401040210,1777575459459047424,2023-2024,0
223401040211,1777575459459047424,2023-2024,0
223401040212,1777575459459047424,2023-2024,100
223401040213,1777575459459047424,2023-2024,100
223401040214,1777575459459047424,2023-2024,100
223401040215,1777575459459047424,2023-2024,0
223401040216,1777575459459047424,2023-2024,0
223401040217,1777575459459047424,2023-2024,100
223401040218,1777575459459047424,2023-2024,100
223401040219,1777575459459047424,2023-2024,100
223401040220,1777575459459047424,2023-2024,100
223401040221,1777575459459047424,2023-2024,0
223401040222,1777575459459047424,2023-2024,0
223401040223,1777575459459047424,2023-2024,100
223401040224,1777575459459047424,2023-2024,100
223401040225,1777575459459047424,2023-2024,0
223401040226,1777575459459047424,2023-2024,100
223401040227,1777575459459047424,2023-2024,100
223401040228,1777575459459047424,2023-2024,100
223401040229,1777575459459047424,2023-2024,0
223401040230,1777575459459047424,2023-2024,0
223401040231,1777575459459047424,2023-2024,0
223401040232,1777575459459047424,2023-2024,100
223401040233,1777575459459047424,2023-2024,100
223401040234,1777575459459047424,2023-2024,100
223401040235,1777575459459047424,2023-2024,100
223401050101,1777575459459047424,2023-2024,100
223401050102,1777575459459047424,2023-2024,100
223401050103,1777575459459047424,2023-2024,0
223401050104,1777575459459047424,2023-2024,0
223401050105,1777575459459047424,2023-2024,100
223401050106,1777575459459047424,2023-2024,0
223401050107,1777575459459047424,2023-2024,0
223401050108,1777575459459047424,2023-2024,100
223401050109,1777575459459047424,2023-2024,0
223401050110,1777575459459047424,2023-2024,100
223401050111,1777575459459047424,2023-2024,100
223401050112,1777575459459047424,2023-2024,100
223401050113,1777575459459047424,2023-2024,100
223401050114,1777575459459047424,2023-2024,100
223401050115,1777575459459047424,2023-2024,100
223401050116,1777575459459047424,2023-2024,0
223401050117,1777575459459047424,2023-2024,100
223401050118,1777575459459047424,2023-2024,0
223401050119,1777575459459047424,2023-2024,100
223401050120,1777575459459047424,2023-2024,0
223401050121,1777575459459047424,2023-2024,100
223401050122,1777575459459047424,2023-2024,100
223401050123,1777575459459047424,2023-2024,100
223401050124,1777575459459047424,2023-2024,100
223401050125,1777575459459047424,2023-2024,0
223401050126,1777575459459047424,2023-2024,100
223401050127,1777575459459047424,2023-2024,100
223401050128,1777575459459047424,2023-2024,100
223401050129,1777575459459047424,2023-2024,100
223401050130,1777575459459047424,2023-2024,100
223401050131,1777575459459047424,2023-2024,0
223401050132,1777575459459047424,2023-2024,0
223401050134,1777575459459047424,2023-2024,100
223401050135,1777575459459047424,2023-2024,100
223401050201,1777575459459047424,2023-2024,0
223401050202,1777575459459047424,2023-2024,100
223401050203,1777575459459047424,2023-2024,100
223401050204,1777575459459047424,2023-2024,0
223401050205,1777575459459047424,2023-2024,0
223401050206,1777575459459047424,2023-2024,100
223401050207,1777575459459047424,2023-2024,0
223401050208,1777575459459047424,2023-2024,0
223401050209,1777575459459047424,2023-2024,0
223401050210,1777575459459047424,2023-2024,100
223401050211,1777575459459047424,2023-2024,0
223401050212,1777575459459047424,2023-2024,0
223401050213,1777575459459047424,2023-2024,100
223401050214,1777575459459047424,2023-2024,100
223401050215,1777575459459047424,2023-2024,0
223401050216,1777575459459047424,2023-2024,100
223401050217,1777575459459047424,2023-2024,0
223401050218,1777575459459047424,2023-2024,100
223401050219,1777575459459047424,2023-2024,0
223401050220,1777575459459047424,2023-2024,0
223401050221,1777575459459047424,2023-2024,100
223401050222,1777575459459047424,2023-2024,100
223401050223,1777575459459047424,2023-2024,0
223401050224,1777575459459047424,2023-2024,100
223401050225,1777575459459047424,2023-2024,100
223401050226,1777575459459047424,2023-2024,0
223401050227,1777575459459047424,2023-2024,0
223401050228,1777575459459047424,2023-2024,100
223401050229,1777575459459047424,2023-2024,100
223401050230,1777575459459047424,2023-2024,0
223401050231,1777575459459047424,2023-2024,100
223401050232,1777575459459047424,2023-2024,0
223401050233,1777575459459047424,2023-2024,100
223401050234,1777575459459047424,2023-2024,100
223401050235,1777575459459047424,2023-2024,100
223405010213,1777575459459047424,2023-2024,100
223406010708,1777575459459047424,2023-2024,100
223406010709,1777575459459047424,2023-2024,100
223407020133,1777575459459047424,2023-2024,100
223407020218,1777575459459047424,2023-2024,100
223408110202,1777575459459047424,2023-2024,100
223409010210,1777575459459047424,2023-2024,100
223411010109,1777575459459047424,2023-2024,0
223411010111,1777575459459047424,2023-2024,0
223411010232,1777575459459047424,2023-2024,100
223411020111,1777575459459047424,2023-2024,100
223411070102,1777575459459047424,2023-2024,100
223412010212,1777575459459047424,2023-2024,100
223423050108,1777575459459047424,2023-2024,100
223423050133,1777575459459047424,2023-2024,100
223428020104,1777575459459047424,2023-2024,100
223428020136,1777575459459047424,2023-2024,0
223428030201,1777575459459047424,2023-2024,100
223428060112,1777575459459047424,2023-2024,100
223428060201,1777575459459047424,2023-2024,100
223428060202,1777575459459047424,2023-2024,100
223428060218,1777575459459047424,2023-2024,100
183423050114,1777575459459047425,2023-2024,100
193401010122,1777575459459047425,2023-2024,0
203401050130,1777575459459047425,2023-2024,50
203406010614,1777575459459047425,2023-2024,100
203409010318,1777575459459047425,2023-2024,0
213401010106,1777575459459047425,2023-2024,100
213401040108,1777575459459047425,2023-2024,0
213401050132,1777575459459047425,2023-2024,0
213401050217,1777575459459047425,2023-2024,50
213401050227,1777575459459047425,2023-2024,100
213401050230,1777575459459047425,2023-2024,50
213412010226,1777575459459047425,2023-2024,0
213428030211,1777575459459047425,2023-2024,100
213428040133,1777575459459047425,2023-2024,0
213428040214,1777575459459047425,2023-2024,50
223401010101,1777575459459047425,2023-2024,50
223401010102,1777575459459047425,2023-2024,50
223401010103,1777575459459047425,2023-2024,50
223401010104,1777575459459047425,2023-2024,75
223401010105,1777575459459047425,2023-2024,0
223401010106,1777575459459047425,2023-2024,0
223401010107,1777575459459047425,2023-2024,75
223401010108,1777575459459047425,2023-2024,0
223401010109,1777575459459047425,2023-2024,0
223401010110,1777575459459047425,2023-2024,75
223401010112,1777575459459047425,2023-2024,50
223401010113,1777575459459047425,2023-2024,0
223401010114,1777575459459047425,2023-2024,25
223401010115,1777575459459047425,2023-2024,75
223401010116,1777575459459047425,2023-2024,50
223401010117,1777575459459047425,2023-2024,0
223401010118,1777575459459047425,2023-2024,100
223401010119,1777575459459047425,2023-2024,50
223401010120,1777575459459047425,2023-2024,0
223401010121,1777575459459047425,2023-2024,50
223401010122,1777575459459047425,2023-2024,0
223401010123,1777575459459047425,2023-2024,50
223401010124,1777575459459047425,2023-2024,50
223401010125,1777575459459047425,2023-2024,0
223401010126,1777575459459047425,2023-2024,0
223401010127,1777575459459047425,2023-2024,50
223401010128,1777575459459047425,2023-2024,0
223401010129,1777575459459047425,2023-2024,0
223401010130,1777575459459047425,2023-2024,50
223401010131,1777575459459047425,2023-2024,0
223401010132,1777575459459047425,2023-2024,50
223401010133,1777575459459047425,2023-2024,50
223401010134,1777575459459047425,2023-2024,0
223401010136,1777575459459047425,2023-2024,0
223401010137,1777575459459047425,2023-2024,50
223401010138,1777575459459047425,2023-2024,100
223401010140,1777575459459047425,2023-2024,0
223401010201,1777575459459047425,2023-2024,50
223401010202,1777575459459047425,2023-2024,50
223401010203,1777575459459047425,2023-2024,100
223401010204,1777575459459047425,2023-2024,100
223401010205,1777575459459047425,2023-2024,0
223401010206,1777575459459047425,2023-2024,50
223401010207,1777575459459047425,2023-2024,100
223401010208,1777575459459047425,2023-2024,50
223401010209,1777575459459047425,2023-2024,100
223401010210,1777575459459047425,2023-2024,50
223401010211,1777575459459047425,2023-2024,75
